Source,Target,BaseGearScore,Cooldown,RecipeLevel,SalvageRecipe,Quantity,Tradeskill,Rarity,Station,Icon,Type,Category
mediumfeet_syndicaterank3,mediumfeet_syndicaterank3_barbarian,0.0,nan,nan,nan,1,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter3T2,recipe,Faction Gear
azoth_currency,mediumfeet_syndicaterank2_occultist,0.0,nan,nan,nan,50,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter3T2,recipe,Faction Gear
syndicateseal_occultist,mediumfeet_syndicaterank2_occultist,0.0,nan,nan,nan,1,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter3T2,recipe,Faction Gear
mediumfeet_syndicaterank2,mediumfeet_syndicaterank2_occultist,0.0,nan,nan,nan,1,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter3T2,recipe,Faction Gear
azoth_currency,mediumfeet_syndicaterank2_cleric,0.0,nan,nan,nan,50,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter3T2,recipe,Faction Gear
syndicateseal_cleric,mediumfeet_syndicaterank2_cleric,0.0,nan,nan,nan,1,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter3T2,recipe,Faction Gear
mediumfeet_syndicaterank2,mediumfeet_syndicaterank2_cleric,0.0,nan,nan,nan,1,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter3T2,recipe,Faction Gear
azoth_currency,mediumfeet_syndicaterank2_barbarian,0.0,nan,nan,nan,50,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter3T2,recipe,Faction Gear
syndicateseal_barbarian,mediumfeet_syndicaterank2_barbarian,0.0,nan,nan,nan,1,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter3T2,recipe,Faction Gear
mediumfeet_syndicaterank2,mediumfeet_syndicaterank2_barbarian,0.0,nan,nan,nan,1,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter3T2,recipe,Faction Gear
azoth_currency,mediumfeet_syndicaterank1_occultist,0.0,nan,nan,nan,50,Armoring,1.0,Outfitting Station Tier 2,Feet_DemonHunter3T2,recipe,Faction Gear
syndicateseal_occultist,mediumfeet_syndicaterank1_occultist,0.0,nan,nan,nan,1,Armoring,1.0,Outfitting Station Tier 2,Feet_DemonHunter3T2,recipe,Faction Gear
mediumfeet_syndicaterank1,mediumfeet_syndicaterank1_occultist,0.0,nan,nan,nan,1,Armoring,1.0,Outfitting Station Tier 2,Feet_DemonHunter3T2,recipe,Faction Gear
azoth_currency,mediumfeet_syndicaterank1_cleric,0.0,nan,nan,nan,50,Armoring,1.0,Outfitting Station Tier 2,Feet_DemonHunter3T2,recipe,Faction Gear
syndicateseal_cleric,mediumfeet_syndicaterank1_cleric,0.0,nan,nan,nan,1,Armoring,1.0,Outfitting Station Tier 2,Feet_DemonHunter3T2,recipe,Faction Gear
mediumfeet_syndicaterank1,mediumfeet_syndicaterank1_cleric,0.0,nan,nan,nan,1,Armoring,1.0,Outfitting Station Tier 2,Feet_DemonHunter3T2,recipe,Faction Gear
azoth_currency,mediumfeet_syndicaterank1_barbarian,0.0,nan,nan,nan,50,Armoring,1.0,Outfitting Station Tier 2,Feet_DemonHunter3T2,recipe,Faction Gear
syndicateseal_barbarian,mediumfeet_syndicaterank1_barbarian,0.0,nan,nan,nan,1,Armoring,1.0,Outfitting Station Tier 2,Feet_DemonHunter3T2,recipe,Faction Gear
mediumfeet_syndicaterank1,mediumfeet_syndicaterank1_barbarian,0.0,nan,nan,nan,1,Armoring,1.0,Outfitting Station Tier 2,Feet_DemonHunter3T2,recipe,Faction Gear
azoth_currency,mediumfeet_syndicateplaguedoctort5_cleric,0.0,nan,nan,nan,50,Armoring,3.0,Forge Tier 2,Feet_PlagueDoctorT2,recipe,Faction Gear
syndicateseal_cleric,mediumfeet_syndicateplaguedoctort5_cleric,0.0,nan,nan,nan,1,Armoring,3.0,Forge Tier 2,Feet_PlagueDoctorT2,recipe,Faction Gear
mediumfeet_syndicateplaguedoctort5,mediumfeet_syndicateplaguedoctort5_cleric,0.0,nan,nan,nan,1,Armoring,3.0,Forge Tier 2,Feet_PlagueDoctorT2,recipe,Faction Gear
azoth_currency,mediumfeet_syndicateplaguedoctort5_brigand,0.0,nan,nan,nan,50,Armoring,3.0,Outfitting Station Tier 2,Feet_PlagueDoctorT2,recipe,Faction Gear
syndicateseal_brigand,mediumfeet_syndicateplaguedoctort5_brigand,0.0,nan,nan,nan,1,Armoring,3.0,Outfitting Station Tier 2,Feet_PlagueDoctorT2,recipe,Faction Gear
mediumfeet_syndicateplaguedoctort5,mediumfeet_syndicateplaguedoctort5_brigand,0.0,nan,nan,nan,1,Armoring,3.0,Outfitting Station Tier 2,Feet_PlagueDoctorT2,recipe,Faction Gear
azoth_currency,mediumfeet_syndicateplaguedoctort5_barbarian,0.0,nan,nan,nan,50,Armoring,3.0,Outfitting Station Tier 2,Feet_PlagueDoctorT2,recipe,Faction Gear
syndicateseal_barbarian,mediumfeet_syndicateplaguedoctort5_barbarian,0.0,nan,nan,nan,1,Armoring,3.0,Outfitting Station Tier 2,Feet_PlagueDoctorT2,recipe,Faction Gear
mediumfeet_syndicateplaguedoctort5,mediumfeet_syndicateplaguedoctort5_barbarian,0.0,nan,nan,nan,1,Armoring,3.0,Outfitting Station Tier 2,Feet_PlagueDoctorT2,recipe,Faction Gear
agentdarkened,mediumfeet_shroudedintentbootst4a,5.0,nan,nan,nan,1,Armoring,3.0,Outfitting Station Tier 3,Feet_FieldshadowT2,recipe,Work Orders
mediumfeet_shroudedintentbootst4,mediumfeet_shroudedintentbootst4a,5.0,nan,nan,nan,1,Armoring,3.0,Outfitting Station Tier 3,Feet_FieldshadowT2,recipe,Work Orders
workorder_1002_0104_boots_shroudedintent,mediumfeet_shroudedintentbootst4,5.0,nan,nan,nan,1,Armoring,2.0,Outfitting Station Tier 3,Feet_FieldshadowT2,recipe,Work Orders
1002_0104_soakedleather,mediumfeet_shroudedintentbootst4,5.0,nan,nan,nan,10,Armoring,2.0,Outfitting Station Tier 3,Feet_FieldshadowT2,recipe,Work Orders
1002_0104_muffledpadding,mediumfeet_shroudedintentbootst4,5.0,nan,nan,nan,13,Armoring,2.0,Outfitting Station Tier 3,Feet_FieldshadowT2,recipe,Work Orders
1002_0104_essenceofshadow,mediumfeet_shroudedintentbootst4,5.0,nan,nan,nan,12,Armoring,2.0,Outfitting Station Tier 3,Feet_FieldshadowT2,recipe,Work Orders
azoth_currency,mediumfeet_marauderrank5_occultist,0.0,nan,nan,nan,50,Armoring,3.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
marauderseal_occultist,mediumfeet_marauderrank5_occultist,0.0,nan,nan,nan,1,Armoring,3.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
mediumfeet_marauderrank5,mediumfeet_marauderrank5_occultist,0.0,nan,nan,nan,1,Armoring,3.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
azoth_currency,mediumfeet_marauderrank5_cleric,0.0,nan,nan,nan,50,Armoring,3.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
marauderseal_cleric,mediumfeet_marauderrank5_cleric,0.0,nan,nan,nan,1,Armoring,3.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
mediumfeet_marauderrank5,mediumfeet_marauderrank5_cleric,0.0,nan,nan,nan,1,Armoring,3.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
azoth_currency,mediumfeet_marauderrank5_barbarian,0.0,nan,nan,nan,50,Armoring,3.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
marauderseal_barbarian,mediumfeet_marauderrank5_barbarian,0.0,nan,nan,nan,1,Armoring,3.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
mediumfeet_marauderrank5,mediumfeet_marauderrank5_barbarian,0.0,nan,nan,nan,1,Armoring,3.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
azoth_currency,mediumfeet_marauderrank4_occultist,0.0,nan,nan,nan,50,Armoring,3.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
marauderseal_occultist,mediumfeet_marauderrank4_occultist,0.0,nan,nan,nan,1,Armoring,3.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
mediumfeet_marauderrank4,mediumfeet_marauderrank4_occultist,0.0,nan,nan,nan,1,Armoring,3.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
azoth_currency,mediumfeet_marauderrank4_cleric,0.0,nan,nan,nan,50,Armoring,3.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
marauderseal_cleric,mediumfeet_marauderrank4_cleric,0.0,nan,nan,nan,1,Armoring,3.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
mediumfeet_marauderrank4,mediumfeet_marauderrank4_cleric,0.0,nan,nan,nan,1,Armoring,3.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
azoth_currency,mediumfeet_marauderrank4_barbarian,0.0,nan,nan,nan,50,Armoring,3.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
marauderseal_barbarian,mediumfeet_marauderrank4_barbarian,0.0,nan,nan,nan,1,Armoring,3.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
mediumfeet_marauderrank4,mediumfeet_marauderrank4_barbarian,0.0,nan,nan,nan,1,Armoring,3.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
azoth_currency,mediumfeet_marauderrank3_occultist,0.0,nan,nan,nan,50,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
marauderseal_occultist,mediumfeet_marauderrank3_occultist,0.0,nan,nan,nan,1,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
mediumfeet_marauderrank3,mediumfeet_marauderrank3_occultist,0.0,nan,nan,nan,1,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
azoth_currency,mediumfeet_marauderrank3_cleric,0.0,nan,nan,nan,50,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
marauderseal_cleric,mediumfeet_marauderrank3_cleric,0.0,nan,nan,nan,1,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
mediumfeet_marauderrank3,mediumfeet_marauderrank3_cleric,0.0,nan,nan,nan,1,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
azoth_currency,mediumfeet_marauderrank3_barbarian,0.0,nan,nan,nan,50,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
marauderseal_barbarian,mediumfeet_marauderrank3_barbarian,0.0,nan,nan,nan,1,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
mediumfeet_marauderrank3,mediumfeet_marauderrank3_barbarian,0.0,nan,nan,nan,1,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
azoth_currency,mediumfeet_marauderrank2_occultist,0.0,nan,nan,nan,50,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
marauderseal_occultist,mediumfeet_marauderrank2_occultist,0.0,nan,nan,nan,1,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
mediumfeet_marauderrank2,mediumfeet_marauderrank2_occultist,0.0,nan,nan,nan,1,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
azoth_currency,mediumfeet_marauderrank2_cleric,0.0,nan,nan,nan,50,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
marauderseal_cleric,mediumfeet_marauderrank2_cleric,0.0,nan,nan,nan,1,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
mediumfeet_marauderrank2,mediumfeet_marauderrank2_cleric,0.0,nan,nan,nan,1,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
azoth_currency,mediumfeet_marauderrank2_barbarian,0.0,nan,nan,nan,50,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
marauderseal_barbarian,mediumfeet_marauderrank2_barbarian,0.0,nan,nan,nan,1,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
mediumfeet_marauderrank2,mediumfeet_marauderrank2_barbarian,0.0,nan,nan,nan,1,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
azoth_currency,mediumfeet_marauderrank1_occultist,0.0,nan,nan,nan,50,Armoring,1.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
marauderseal_occultist,mediumfeet_marauderrank1_occultist,0.0,nan,nan,nan,1,Armoring,1.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
mediumfeet_marauderrank1,mediumfeet_marauderrank1_occultist,0.0,nan,nan,nan,1,Armoring,1.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
azoth_currency,mediumfeet_marauderrank1_cleric,0.0,nan,nan,nan,50,Armoring,1.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
marauderseal_cleric,mediumfeet_marauderrank1_cleric,0.0,nan,nan,nan,1,Armoring,1.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
mediumfeet_marauderrank1,mediumfeet_marauderrank1_cleric,0.0,nan,nan,nan,1,Armoring,1.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
azoth_currency,mediumfeet_marauderrank1_barbarian,0.0,nan,nan,nan,50,Armoring,1.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
marauderseal_barbarian,mediumfeet_marauderrank1_barbarian,0.0,nan,nan,nan,1,Armoring,1.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
mediumfeet_marauderrank1,mediumfeet_marauderrank1_barbarian,0.0,nan,nan,nan,1,Armoring,1.0,Outfitting Station Tier 2,Feet_DemonHunter1T2,recipe,Faction Gear
stickyvinest1,mediumfeet_crafteddungeon7t5,160.0,nan,500.0,nan,10,Armoring,0.0,Outfitting Station Tier 5,m_nagaangryearthmedium_feet,recipe,Expedition Replicas
Tier 5 Leather,mediumfeet_crafteddungeon7t5,160.0,nan,500.0,nan,5,Armoring,0.0,Outfitting Station Tier 5,m_nagaangryearthmedium_feet,recipe,Expedition Replicas
Cloth,mediumfeet_crafteddungeon7t5,160.0,nan,500.0,nan,3,Armoring,0.0,Outfitting Station Tier 5,m_nagaangryearthmedium_feet,recipe,Expedition Replicas
Metals,mediumfeet_crafteddungeon7t5,160.0,nan,500.0,nan,1,Armoring,0.0,Outfitting Station Tier 5,m_nagaangryearthmedium_feet,recipe,Expedition Replicas
spectraldustt1,mediumfeet_crafteddungeon6t5,160.0,nan,500.0,nan,10,Armoring,0.0,Outfitting Station Tier 5,MediumFeetAT5,recipe,Expedition Replicas
Tier 5 Leather,mediumfeet_crafteddungeon6t5,160.0,nan,500.0,nan,5,Armoring,0.0,Outfitting Station Tier 5,MediumFeetAT5,recipe,Expedition Replicas
Cloth,mediumfeet_crafteddungeon6t5,160.0,nan,500.0,nan,3,Armoring,0.0,Outfitting Station Tier 5,MediumFeetAT5,recipe,Expedition Replicas
Metals,mediumfeet_crafteddungeon6t5,160.0,nan,500.0,nan,1,Armoring,0.0,Outfitting Station Tier 5,MediumFeetAT5,recipe,Expedition Replicas
collarjadet1,mediumfeet_crafteddungeon5t4,110.0,nan,400.0,nan,10,Armoring,0.0,Outfitting Station Tier 4,MediumFeetAT4,recipe,Expedition Replicas
Tier 4 Leather,mediumfeet_crafteddungeon5t4,110.0,nan,400.0,nan,5,Armoring,0.0,Outfitting Station Tier 4,MediumFeetAT4,recipe,Expedition Replicas
Cloth,mediumfeet_crafteddungeon5t4,110.0,nan,400.0,nan,3,Armoring,0.0,Outfitting Station Tier 4,MediumFeetAT4,recipe,Expedition Replicas
Metals,mediumfeet_crafteddungeon5t4,110.0,nan,400.0,nan,1,Armoring,0.0,Outfitting Station Tier 4,MediumFeetAT4,recipe,Expedition Replicas
corruptedtalismant1,mediumfeet_crafteddungeon4t4,110.0,nan,400.0,nan,10,Armoring,0.0,Outfitting Station Tier 4,m_wraithhuntermediumspikes_feet,recipe,Expedition Replicas
Tier 4 Leather,mediumfeet_crafteddungeon4t4,110.0,nan,400.0,nan,5,Armoring,0.0,Outfitting Station Tier 4,m_wraithhuntermediumspikes_feet,recipe,Expedition Replicas
Cloth,mediumfeet_crafteddungeon4t4,110.0,nan,400.0,nan,3,Armoring,0.0,Outfitting Station Tier 4,m_wraithhuntermediumspikes_feet,recipe,Expedition Replicas
Metals,mediumfeet_crafteddungeon4t4,110.0,nan,400.0,nan,1,Armoring,0.0,Outfitting Station Tier 4,m_wraithhuntermediumspikes_feet,recipe,Expedition Replicas
sparklingbonedustt1,mediumfeet_crafteddungeon2t3,60.0,nan,300.0,nan,10,Armoring,0.0,Outfitting Station Tier 3,m_skeletonguardianarmor_feet,recipe,Expedition Replicas
Tier 3 Leather,mediumfeet_crafteddungeon2t3,60.0,nan,300.0,nan,5,Armoring,0.0,Outfitting Station Tier 3,m_skeletonguardianarmor_feet,recipe,Expedition Replicas
Cloth,mediumfeet_crafteddungeon2t3,60.0,nan,300.0,nan,3,Armoring,0.0,Outfitting Station Tier 3,m_skeletonguardianarmor_feet,recipe,Expedition Replicas
Metals,mediumfeet_crafteddungeon2t3,60.0,nan,300.0,nan,1,Armoring,0.0,Outfitting Station Tier 3,m_skeletonguardianarmor_feet,recipe,Expedition Replicas
coagulatedbloodt1,mediumfeet_crafteddungeon1t3,60.0,nan,300.0,nan,10,Armoring,0.0,Outfitting Station Tier 3,MediumFeetAT3,recipe,Expedition Replicas
Tier 3 Leather,mediumfeet_crafteddungeon1t3,60.0,nan,300.0,nan,5,Armoring,0.0,Outfitting Station Tier 3,MediumFeetAT3,recipe,Expedition Replicas
Cloth,mediumfeet_crafteddungeon1t3,60.0,nan,300.0,nan,3,Armoring,0.0,Outfitting Station Tier 3,MediumFeetAT3,recipe,Expedition Replicas
Metals,mediumfeet_crafteddungeon1t3,60.0,nan,300.0,nan,1,Armoring,0.0,Outfitting Station Tier 3,MediumFeetAT3,recipe,Expedition Replicas
azoth_currency,mediumfeet_covenantrank5_occultist,0.0,nan,nan,nan,50,Armoring,3.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
covenantseal_occultist,mediumfeet_covenantrank5_occultist,0.0,nan,nan,nan,1,Armoring,3.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
mediumfeet_covenantrank5,mediumfeet_covenantrank5_occultist,0.0,nan,nan,nan,1,Armoring,3.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
azoth_currency,mediumfeet_covenantrank5_cleric,0.0,nan,nan,nan,50,Armoring,3.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
covenantseal_cleric,mediumfeet_covenantrank5_cleric,0.0,nan,nan,nan,1,Armoring,3.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
mediumfeet_covenantrank5,mediumfeet_covenantrank5_cleric,0.0,nan,nan,nan,1,Armoring,3.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
azoth_currency,mediumfeet_covenantrank5_barbarian,0.0,nan,nan,nan,50,Armoring,3.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
covenantseal_barbarian,mediumfeet_covenantrank5_barbarian,0.0,nan,nan,nan,1,Armoring,3.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
mediumfeet_covenantrank5,mediumfeet_covenantrank5_barbarian,0.0,nan,nan,nan,1,Armoring,3.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
azoth_currency,mediumfeet_covenantrank4_occultist,0.0,nan,nan,nan,50,Armoring,3.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
covenantseal_occultist,mediumfeet_covenantrank4_occultist,0.0,nan,nan,nan,1,Armoring,3.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
mediumfeet_covenantrank4,mediumfeet_covenantrank4_occultist,0.0,nan,nan,nan,1,Armoring,3.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
azoth_currency,mediumfeet_covenantrank4_cleric,0.0,nan,nan,nan,50,Armoring,3.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
covenantseal_cleric,mediumfeet_covenantrank4_cleric,0.0,nan,nan,nan,1,Armoring,3.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
mediumfeet_covenantrank4,mediumfeet_covenantrank4_cleric,0.0,nan,nan,nan,1,Armoring,3.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
azoth_currency,mediumfeet_covenantrank4_barbarian,0.0,nan,nan,nan,50,Armoring,3.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
covenantseal_barbarian,mediumfeet_covenantrank4_barbarian,0.0,nan,nan,nan,1,Armoring,3.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
mediumfeet_covenantrank4,mediumfeet_covenantrank4_barbarian,0.0,nan,nan,nan,1,Armoring,3.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
azoth_currency,mediumfeet_covenantrank3_occultist,0.0,nan,nan,nan,50,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
covenantseal_occultist,mediumfeet_covenantrank3_occultist,0.0,nan,nan,nan,1,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
mediumfeet_covenantrank3,mediumfeet_covenantrank3_occultist,0.0,nan,nan,nan,1,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
azoth_currency,mediumfeet_covenantrank3_cleric,0.0,nan,nan,nan,50,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
covenantseal_cleric,mediumfeet_covenantrank3_cleric,0.0,nan,nan,nan,1,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
mediumfeet_covenantrank3,mediumfeet_covenantrank3_cleric,0.0,nan,nan,nan,1,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
azoth_currency,mediumfeet_covenantrank3_barbarian,0.0,nan,nan,nan,50,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
covenantseal_barbarian,mediumfeet_covenantrank3_barbarian,0.0,nan,nan,nan,1,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
mediumfeet_covenantrank3,mediumfeet_covenantrank3_barbarian,0.0,nan,nan,nan,1,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
azoth_currency,mediumfeet_covenantrank2_occultist,0.0,nan,nan,nan,50,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
covenantseal_occultist,mediumfeet_covenantrank2_occultist,0.0,nan,nan,nan,1,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
mediumfeet_covenantrank2,mediumfeet_covenantrank2_occultist,0.0,nan,nan,nan,1,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
azoth_currency,mediumfeet_covenantrank2_cleric,0.0,nan,nan,nan,50,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
covenantseal_cleric,mediumfeet_covenantrank2_cleric,0.0,nan,nan,nan,1,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
mediumfeet_covenantrank2,mediumfeet_covenantrank2_cleric,0.0,nan,nan,nan,1,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
azoth_currency,mediumfeet_covenantrank2_barbarian,0.0,nan,nan,nan,50,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
covenantseal_barbarian,mediumfeet_covenantrank2_barbarian,0.0,nan,nan,nan,1,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
mediumfeet_covenantrank2,mediumfeet_covenantrank2_barbarian,0.0,nan,nan,nan,1,Armoring,2.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
azoth_currency,mediumfeet_covenantrank1_occultist,0.0,nan,nan,nan,50,Armoring,1.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
covenantseal_occultist,mediumfeet_covenantrank1_occultist,0.0,nan,nan,nan,1,Armoring,1.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
mediumfeet_covenantrank1,mediumfeet_covenantrank1_occultist,0.0,nan,nan,nan,1,Armoring,1.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
azoth_currency,mediumfeet_covenantrank1_cleric,0.0,nan,nan,nan,50,Armoring,1.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
covenantseal_cleric,mediumfeet_covenantrank1_cleric,0.0,nan,nan,nan,1,Armoring,1.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
mediumfeet_covenantrank1,mediumfeet_covenantrank1_cleric,0.0,nan,nan,nan,1,Armoring,1.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
azoth_currency,mediumfeet_covenantrank1_barbarian,0.0,nan,nan,nan,50,Armoring,1.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
covenantseal_barbarian,mediumfeet_covenantrank1_barbarian,0.0,nan,nan,nan,1,Armoring,1.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
mediumfeet_covenantrank1,mediumfeet_covenantrank1_barbarian,0.0,nan,nan,nan,1,Armoring,1.0,Outfitting Station Tier 2,Feet_DemonHunter2T2,recipe,Faction Gear
Tier 5 Leather,mediumfeet_beasthuntert5,200.0,nan,500.0,nan,6,Armoring,0.0,Outfitting Station Tier 5,BeastBear_Boots,recipe,Armor
Cloth,mediumfeet_beasthuntert5,200.0,nan,500.0,nan,2,Armoring,0.0,Outfitting Station Tier 5,BeastBear_Boots,recipe,Armor
Metals,mediumfeet_beasthuntert5,200.0,nan,500.0,nan,1,Armoring,0.0,Outfitting Station Tier 5,BeastBear_Boots,recipe,Armor
leathert51,mediumchest_voidbentt5,200.0,nan,nan,nan,26,Armoring,4.0,Outfitting Station Tier 5,m_voidbentmedium_chest,recipe,Armor
clotht51,mediumchest_voidbentt5,200.0,nan,nan,nan,8,Armoring,4.0,Outfitting Station Tier 5,m_voidbentmedium_chest,recipe,Armor
